3000,MELBOURNE,-37.814563,144.970267
3001,MELBOURNE,-38.365017,144.76592
3002,EAST MELBOURNE,-37.81664,144.987811
3003,WEST MELBOURNE,-37.806255,144.941123
3004,MELBOURNE,-37.837324,144.976335
3005,WORLD TRADE CENTRE,-37.822262,144.954856
3006,SOUTHBANK,-37.823258,144.965926
3008,DOCKLANDS,-37.814719,144.948039
3010,UNIVERSITY OF MELBOURNE,-37.796152,144.961351
3011,SEDDON WEST,-37.795059,144.866197
3012,WEST FOOTSCRAY,-37.797701,144.879924
3013,YARRAVILLE WEST,-37.818019,144.883582
3015,SPOTSWOOD,-37.82967,144.885078
3016,WILLIAMSTOWN NORTH,-37.857681,144.887041
3018,SEAHOLME,-37.867992,144.843609
3019,ROBINSON,-37.834094,145.040941
3020,SUNSHINE WEST,-37.79983,144.81845
3021,ST ALBANS,-37.745063,144.799626
3022,DEER PARK EAST,-37.740815,144.797867
3023,RAVENHALL,-37.766501,144.738709
3024,WYNDHAM VALE,-37.891641,144.629467
3025,ALTONA NORTH,-37.842879,144.850049
3026,LAVERTON NORTH,-37.841653,144.795959
3027,LAVERTON RAAF,-37.859941,144.760517
3028,SEABROOK,-37.877626,144.75777
3029,TRUGANINA,-37.825004,144.748931
3030,WERRIBEE SOUTH,-37.903337,144.657731
3031,KENSINGTON,-37.794333,144.929217
3032,TRAVANCORE,-37.777773,144.929915
3033,KEILOR EAST,-37.736264,144.796336
3034,AVONDALE HEIGHTS,-37.742284,144.81515
3036,KEILOR NORTH,-37.704771,144.814229
3037,TAYLORS HILL,-37.710381,144.766791
3038,WATERGARDENS,-37.698952,144.777576
3039,MOONEE PONDS,-37.765707,144.919163
3040,ESSENDON WEST,-37.753802,144.888271
3041,STRATHMORE HEIGHTS,-37.716678,144.897568
3042,NIDDRIE,-37.736031,144.889072
3043,TULLAMARINE,-37.68656,144.882698
3044,PASCOE VALE SOUTH,-37.739198,144.945722
3045,MELBOURNE AIRPORT,-37.668873,144.833931
3046,OAK PARK,-37.71817,144.919959
3047,JACANA,-37.690301,144.915729
3048,MEADOW HEIGHTS,-37.64986,144.922104
3049,WESTMEADOWS,-37.673551,144.90086
3050,ROYAL MELBOURNE HOSPITAL,-37.798631,144.955627
3051,NORTH MELBOURNE,-37.905996,145.056254
3052,PARKVILLE,-37.788531,144.947731
3053,CARLTON SOUTH,-37.778987,145.0026
3054,PRINCES HILL,-37.780995,144.962792
3055,MORELAND WEST,-37.713902,144.937112
3056,BRUNSWICK NORTH,-37.760071,144.972291
3057,BRUNSWICK EAST,-37.76491,144.979567
3058,MORELAND,-37.748315,144.961827
3059,GREENVALE,-37.642984,144.88872
3060,FAWKNER NORTH,-37.705055,144.944577
3061,CAMPBELLFIELD,-37.643746,144.951369
3062,SOMERTON,-37.642563,144.944259
3063,YUROKE,-37.589589,144.879406
3064,ROXBURGH PARK,-37.636795,144.932604
3065,FITZROY,-37.800917,144.979165
3066,COLLINGWOOD NORTH,-37.789805,144.990796
3067,ABBOTSFORD,-37.801781,144.998752
3068,FITZROY NORTH,-37.7834,144.984688
3070,NORTHCOTE SOUTH,-37.779039,145.006746
3071,THORNBURY,-37.75504,144.998589
3072,PRESTON WEST,-37.736855,145.003005
3073,RESERVOIR SOUTH,-37.714796,144.944655
3074,THOMASTOWN,-37.680338,145.014287
3075,LALOR PLAZA,-37.673141,145.016634
3076,EPPING,-37.638363,145.009493
3078,FAIRFIELD,-37.776946,145.018479
3079,IVANHOE NORTH,-37.723105,145.018195
3081,HEIDELBERG WEST,-37.74944,145.0414
3082,MILL PARK,-37.667957,145.060693
3083,LA TROBE UNIVERSITY,-37.721328,145.047012
3084,VIEWBANK,-37.739262,145.096424
3085,YALLAMBIE,-37.727482,145.102309
3086,LA TROBE UNIVERSITY,-37.721328,145.047012
3087,WATSONIA NORTH,-37.698352,145.084586
3088,SAINT HELENA,-37.690585,145.130847
3089,DIAMOND CREEK,-37.642629,145.217595
3090,PLENTY,-37.671565,145.124024
3091,YARRAMBAT,-37.639769,145.132663
3093,LOWER PLENTY,-37.730758,145.088118
3094,MONTMORENCY,-37.715294,145.121583
3095,RESEARCH,-37.703602,145.180636
3096,WATTLE GLEN,-37.670101,145.190928
3097,WATSONS CREEK,-37.67058,145.256526
3099,STRATHEWEN,-37.53633,145.273454
3101,KEW,-37.797982,145.053727
3102,KEW EAST,-37.796246,145.049017
3103,BALWYN EAST,-37.807312,145.096698
3104,GREYTHORN,-37.796947,145.098434
3105,BULLEEN,-37.768554,145.079543
3106,TEMPLESTOWE,-37.768882,145.117873
3107,TEMPLESTOWE LOWER,-37.7563,145.102997
3108,DONCASTER,-37.783031,145.122517
3109,THE PINES,-37.757762,145.169626
3111,DONVALE,-38.183899,144.468019
3113,WARRANDYTE,-37.736915,145.22314
3114,PARK ORCHARDS,-37.778442,145.214586
3115,WONGA PARK,-37.738666,145.270483
3116,CHIRNSIDE PARK,-37.750325,145.326463
3121,RICHMOND SOUTH,-37.814951,144.991415
3122,HAWTHORN WEST,-37.819687,145.017455
3123,HAWTHORN EAST,-37.782254,145.001811
3124,MIDDLE CAMBERWELL,-37.844,145.056955
3125,SURREY HILLS SOUTH,-37.835047,145.096407
3126,CANTERBURY,-37.824249,145.073114
3127,SURREY HILLS NORTH,-37.834288,145.096516
3128,WATTLE PARK,-37.839076,145.104165
3129,MONT ALBERT NORTH,-37.807247,145.11205
3130,LABURNUM,-37.821142,145.145303
3131,NUNAWADING,-37.820037,145.175726
3132,RANGEVIEW,-37.805715,145.200802
3133,VERMONT SOUTH,-37.856647,145.183576
3134,WARRANWOOD,-37.774017,145.2483
3135,RINGWOOD EAST,-37.812999,145.247551
3136,CROYDON SOUTH,-37.811967,145.269481
3137,KILSYTH SOUTH,-37.829539,145.302768
3138,MOOROOLBARK,-37.774337,145.329954
3139,YELLINGBO,-37.813485,145.508258
3140,LILYDALE,-37.755519,145.347707
3141,SOUTH YARRA,-37.837883,144.991123
3142,TOORAK,-37.84216,145.017966
3143,ARMADALE NORTH,-37.828845,145.007261
3144,MALVERN NORTH,-37.856852,145.036518
3145,MALVERN EAST,-37.87837,145.067892
3146,GLEN IRIS,-37.854687,145.067215
3147,ASHWOOD,-37.864686,145.093061
3148,HOLMESGLEN,-37.874223,145.091587
3149,SYNDAL,-37.87947,145.143233
3150,WHEELERS HILL,-37.909349,145.188659
3151,BURWOOD HEIGHTS,-37.852535,145.150335
3152,WANTIRNA SOUTH,-37.868979,145.235211
3153,BAYSWATER NORTH,-37.8303,145.275095
3154,THE BASIN,-37.851467,145.307133
3155,BORONIA,-37.861504,145.275762
3156,UPPER FERNTREE GULLY,-37.893513,145.310777
3158,UPWEY,-37.903672,145.33131
3159,SELBY,-37.915182,145.372016
3160,TECOMA,-37.906626,145.343987
3161,CAULFIELD NORTH,-37.901678,145.02357
3162,HOPETOUN GARDENS,-37.886719,145.010619
3163,MURRUMBEENA,-37.89069,145.067589
3164,DANDENONG SOUTH,-38.02243,145.23738
3165,COATESVILLE,-37.92075,145.072839
3166,OAKLEIGH EAST,-37.900071,145.105574
3167,OAKLEIGH SOUTH,-37.926986,145.0964
3168,NOTTING HILL,-37.901596,145.145776
3169,CLAYTON SOUTH,-37.939215,145.126625
3170,WAVERLEY GARDENS,-37.92246,145.189181
3171,SPRINGVALE,-37.97103,145.148499
3172,SPRINGVALE SOUTH,-37.97103,145.148499
3173,KEYSBOROUGH,-37.989707,145.149037
3174,NOBLE PARK NORTH,-37.9547,145.192117
3175,DUNEARN,-37.967601,145.202509
3177,EUMEMMERRING,-37.997711,145.250273
3178,ROWVILLE,-37.928005,145.235811
3179,SCORESBY,-37.864883,145.26427
3180,KNOXFIELD,-37.888895,145.248383
3181,WINDSOR,-37.856159,144.9922
3182,ST KILDA WEST,-37.860901,144.972523
3183,ST KILDA EAST,-37.866458,145.000047
3184,ELWOOD,-37.888121,144.985026
3185,RIPPONLEA,-37.876692,144.996194
3186,DENDY,-37.919885,144.996826
3187,NORTH ROAD,-37.90106,145.01669
3188,HAMPTON NORTH,-37.89802,144.991601
3189,WISHART,-38.61358,145.581353
3190,HIGHETT,-37.947848,145.034294
3191,SANDRINGHAM,-37.952493,145.012316
3192,SOUTHLAND CENTRE,-37.958621,145.052468
3193,CROMER,-37.98452,145.0451
3194,MOORABBIN AIRPORT,-37.977934,145.09892
3195,WATERWAYS,-38.008051,145.110473
3196,EDITHVALE,-38.037415,145.107846
3197,PATTERSON LAKES,-38.067368,145.144762
3198,SEAFORD,-38.110191,145.142512
3199,KARINGAL CENTRE,-38.143729,145.160676
3200,PINES FOREST,-38.122727,145.151093
3201,CARRUM DOWNS,-38.090783,145.191719
3202,HEATHERTON,-37.969954,145.214164
3204,PATTERSON,-37.925967,145.038194
3205,SOUTH MELBOURNE,-37.93291,145.033718
3206,MIDDLE PARK,-37.849721,144.965136
3207,PORT MELBOURNE,-37.975682,145.030468
3211,LITTLE RIVER,-37.971627,144.526585
3212,POINT WILSON,-38.086796,144.506744
3214,NORTH SHORE,-38.0993,144.371887
3215,RIPPLESIDE,-38.128049,144.355394
3216,WAURN PONDS,-38.214211,144.292324
3217,DEAKIN UNIVERSITY,-38.198946,144.297736
3218,MANIFOLD HEIGHTS,-38.139542,144.330072
3219,WHITTINGTON,-38.178536,144.389963
3220,SOUTH GEELONG,-38.161708,144.354122
3221,WYE RIVER,-38.635001,143.890896
3222,MARCUS HILL,-38.260117,144.560583
3223,ST LEONARDS,-38.171243,144.717383
3224,LEOPOLD,-38.183967,144.459914
3225,SWAN ISLAND,-38.249982,144.688434
3226,OCEAN GROVE,-38.270293,144.540778
3227,CONNEWARRE,-38.250963,144.387919
3228,TORQUAY,-38.332818,144.32389
3230,ANGLESEA,-38.405129,144.189268
3231,MOGGS CREEK,-38.468585,144.06487
3232,LORNE,-38.518801,143.99579
3233,SKENES CREEK NORTH,-38.686026,143.715192
3235,PENNYROYAL,-38.422717,143.836555
3236,MOUNT SABINE,-38.62353,143.725095
3237,YUULONG,-38.725903,143.313646
3238,LAVERS HILL,-38.679082,143.392452
3239,KENNEDYS CREEK,-38.5969,143.248332
3240,PARAPARAP,-38.292979,144.193897
3241,WURDIBOLUC,-38.293781,144.02637
3242,BIRREGURRA,-38.314855,143.789367
3243,WHOOREL,-38.380379,143.822207
3249,YEODENE,-38.397487,143.693909
3250,ELLIMINYT,-38.367034,143.58264
3251,WEERING,-38.094341,143.690365
3254,COROROOKE,-38.296263,143.522505
3260,WEERITE,-38.255408,143.241487
3264,TERANG,-38.236207,142.911483
3265,THE SISTERS,-38.198076,142.769514
3266,SIMPSON,-38.496167,143.210488
3267,SCOTTS CREEK,-38.448909,143.10623
3268,TIMBOON WEST,-38.505198,142.914428
3269,WAARRE,-38.575231,143.050126
3270,PETERBOROUGH,-38.579938,142.857049
3271,PURA PURA,-37.821152,143.081778
3272,WOORNDOO,-37.876231,142.794858
3273,HEXHAM,-38.057308,142.607374
3274,CARAMUT,-37.912068,142.523202
3275,MAILORS FLAT,-38.301794,142.457611
3276,WOOLSTHORPE,-38.16607,142.39753
3277,NARINGAL EAST,-38.408509,142.798682
3278,PURNIM WEST,-38.300776,142.559686
3279,WANGOOM,-38.329882,142.578578
3280,WARRNAMBOOL WEST,-38.37766,142.457911
3281,WOODFORD,-38.313439,142.463881
3282,KOROIT,-38.292155,142.367405
3283,YARPTURK,-38.283548,142.432861
3284,PORT FAIRY,-38.385516,142.236711
3285,YAMBUK,-38.315793,142.065127
3286,WARRABKOOK,-37.979189,142.044275
3287,MINHAMITE,-37.991565,142.327342
3289,TABOR,-37.804364,142.182405
3292,NELSON,-38.04659,141.006938
3293,NARRAPUMELAP SOUTH,-37.75697,142.641677
3294,WOODHOUSE,-37.801065,142.45467
3300,HAMILTON,-37.743025,142.020065
3301,YULECART,-37.748521,141.936368
3302,GRASSDALE,-37.792645,141.646446
3303,WALLACEDALE,-37.933651,141.810169
3304,WINNAP,-37.944963,141.31758
3305,PORTLAND WEST,-38.342188,141.569468
3309,DIGBY,-37.794364,141.500674
3310,TAHARA WEST,-37.727284,141.639652
3311,CORNDALE,-37.531494,141.289748
3312,WARROCK,-37.430567,141.290496
3314,WOOHLPOOER,-37.371558,142.160996
3315,WOOTONG VALE,-37.531576,141.715919
3317,HARROW,-37.119835,141.600473
3318,ULLSWATER,-36.928902,141.395927
3319,BRINGALBERT,-36.843902,141.155059
3321,WINGEEL,-38.06397,143.857655
3322,CRESSY,-38.028752,143.643643
3323,FOXHOW,-38.048885,143.461877
3324,MOUNT BUTE,-37.879341,143.451114
3325,VITE VITE NORTH,-37.792923,143.208666
3328,TEESDALE,-38.039758,144.048285
3329,SHELFORD,-38.013703,143.976087
3330,ROKEWOOD,-37.844281,143.677351
3331,SUTHERLANDS CREEK,-38.003845,144.217941
3332,LETHBRIDGE,-37.962809,144.139178
3333,MEREDITH,-37.845715,144.076801
3334,MOUNT DORAN,-37.72122,144.050734
3335,ROCKBANK,-37.729119,144.650778
3337,TOOLERN VALE,-37.605843,144.589792
3338,MELTON SOUTH,-37.704323,144.574818
3340,ROWSLEY,-37.723941,144.375232
3341,PENTLAND HILLS,-37.643624,144.365696
3342,MOUNT WALLACE,-37.734514,144.217919
3345,GORDON,-37.594546,144.099862
3350,SOVEREIGN HILL,-37.579026,143.864748
3351,WESTMERE,-37.692668,142.999465
3352,YENDON,-37.633954,143.969478
3353,BALLARAT,-37.7778,144.835743
3354,BAKERY HILL,-37.560917,143.867158
3355,WENDOUREE VILLAGE,-37.532908,143.824328
3356,SEBASTOPOL,-37.597592,143.841026
3357,BUNINYONG,-37.648547,143.918563
3360,WILLOWVALE,-37.805729,143.45921
3361,SKIPTON,-37.685939,143.365063
3363,TOURELLO,-37.356793,143.808277
3364,WERONA,-37.243658,144.024726
3370,ULLINA,-37.284441,143.890428
3371,TALBOT,-37.171463,143.698142
3373,WATERLOO,-37.372434,143.414495
3375,MIDDLE CREEK,-37.398313,143.23096
3377,WARRAK,-37.265182,143.115878
3378,YALLA-Y-POORA,-37.527438,143.13232
3379,WILLAURA NORTH,-37.388237,142.742735
3380,WINJALLOK,-36.822297,143.197839
3381,WALLALOO EAST,-36.781477,142.930714
3384,WATTLE CREEK,-36.980263,143.111695
3385,RIACHELLA,-36.82488,142.687805
3387,MARNOO,-36.671662,142.869768
3388,RUPANYUP,-36.630462,142.63136
3390,MURTOA,-36.620248,142.470529
3391,BRIM,-36.069357,142.519496
3392,SHEEP HILLS,-36.349474,142.529677
3393,WILLENABRINA,-36.040823,142.218395
3395,KENMARE,-35.930786,142.238991
3396,YARTO,-35.517724,142.358521
3400,HORSHAM WEST,-36.722304,142.17788
3401,ZUMSTEINS,-37.092355,142.431933
3402,HORSHAM,-37.164183,142.666302
3407,VASEY,-37.370978,141.872121
3409,WOMBELANO,-37.079728,141.747046
3412,GOROKE,-36.747329,141.472623
3413,PERONNE,-36.724135,141.377862
3414,TARRANYURK,-36.211453,142.034536
3415,MIRAM,-36.378089,141.357823
3418,YANAC,-36.147883,141.435374
3419,KANIVA,-36.377563,141.244901
3420,TELOPEA DOWNS,-36.13056,141.143503
3423,JEPARIT,-36.14057,141.987191
3424,YAAPEET,-35.766065,142.060249
3427,DIGGERS REST,-37.627752,144.719981
3428,BULLA,-37.637155,144.804139
3429,WILDWOOD,-37.575434,144.795859
3430,CLARKEFIELD,-37.483711,144.745723
3431,RIDDELLS CREEK,-37.463999,144.665048
3432,BOLINDA,-37.433632,144.77977
3434,SPRINGFIELD,-37.358834,144.821043
3435,NULLA VALE,-37.172089,144.750918
3437,GISBORNE SOUTH,-37.53865,144.597248
3438,NEW GISBORNE,-37.459119,144.599206
3440,MACEDON,-37.399584,144.588405
3441,MOUNT MACEDON,-37.396044,144.590721
3442,WOODEND NORTH,-37.323937,144.541667
3444,TYLDEN SOUTH,-37.353578,144.373464
3446,MALMSBURY,-37.18842,144.382533
3447,TARADALE,-37.133438,144.356519
3448,SUTTON GRANGE,-36.990506,144.358577
3450,MOONLIGHT FLAT,-37.060183,144.244448
